date,pred_wedge_Pi_2,pred_wedge_Pi_3,pred_wedge_Pi_4,meas_wedge_Pi_2,meas_wedge_Pi_3,meas_wedge_Pi_4
2020-03-17,-0.007428747953415721,-0.08982479661303226,-0.011245583484510324,0.020945272681332755,0.017653643751407648,0.027980262309219142
2020-03-19,-0.006818988298047099,-0.06751404544279561,-0.010375000016251162,0.00133224625517607,-0.002051873852204386,-0.003143357234216146
2020-03-25,-0.009286039426405601,-0.06792000984033075,-0.013433767671553132,0.004761806153368714,0.0009105016550628314,0.003387885094368631
2020-03-26,-0.013807766833045396,-0.059845560041452917,-0.01916081090974313,0.0004137973033723208,-0.0005341192765562844,0.0007247850608254891
2020-03-30,-0.01385758236344517,-0.03785019051639362,-0.01710141343866598,0.005056645858435557,0.0009065834434390102,0.006916322768628531
2020-04-01,-0.009713372711068688,-0.03367227287408071,-0.011706485720989923,0.008816179658233239,6.143639622703534e-05,0.004792640613266626
2020-04-02,-0.007273949615308514,-0.03831705159692336,-0.00899718147614132,0.005108701201755411,0.003910922938611068,0.005720483292620371
2020-04-06,-0.006765708129515935,-0.03404589742168468,-0.008506803677739011,0.006813450595935314,0.0021589858052183664,0.004783429837449019
2020-04-13,-0.009779915110374342,-0.03395093686166688,-0.012799334480821219,0.010917821639233688,0.0036607922874513955,0.005460627742030703
2020-04-16,-0.008617214847405817,-0.028362342131563172,-0.010938326813646718,0.002704956584082957,0.0008045798498850822,-0.0019271661269099072
2020-04-29,-0.0012072562990663865,-0.034380049332913915,-0.0010590991738261557,-0.008024695081039077,-0.004557239873125164,-0.009670437653093104
2020-05-01,-0.0019934412581072702,-0.029857128260492027,-0.002057380998473253,-0.002518713742812012,0.00018508921645519344,-0.0011084243005707872
2020-05-04,-0.004532931542922225,-0.027944773050122825,-0.004973509511317177,0.0035957536981314903,0.0008741510488214019,0.0029926057670245365
